mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error
social_groups,21100620_21100623,111438,33562,33594,95577,31789,31793,14.23,5.28,5.36,1737,0.11,0.19
social_groups,21111208_21111214,348541,48296,48277,314719,45371,45392,9.7,6.06,5.98,2721,0.42,0.34
social_groups,21111220_21111302,194770,84455,84454,150775,81752,81770,22.59,3.2,3.18,2445,0.31,0.28
social_groups,21111408_21111409,40974,3423,3429,33205,2545,2545,18.96,25.65,25.78,877,0.03,0.2
social_groups,21111220_21111223,125463,45341,45322,104503,42610,42623,16.71,6.02,5.96,2591,0.31,0.24
social_groups,21100608_21100614,366569,45475,45522,336323,42543,42550,8.25,6.45,6.53,2783,0.33,0.42
social_groups,21100808_21100811,185617,27096,27078,164567,23648,23652,11.34,12.73,12.65,3242,0.76,0.68
social_groups,21111008_21111020,697572,109363,109427,645473,106359,106393,7.47,2.75,2.77,2695,0.28,0.31
social_groups,21100608_21100609,60636,9660,9662,53065,7394,7395,12.49,23.46,23.46,2227,0.4,0.41
social_groups,21100808_21100820,721616,119378,119359,673012,115350,115373,6.74,3.37,3.34,3123,0.76,0.72
social_groups,21111008_21111011,173405,25666,25701,155798,22979,22987,10.15,10.47,10.56,2647,0.16,0.26
social_groups,21111020_21111108,195592,67114,67218,161554,65051,65071,17.4,3.07,3.19,2006,0.08,0.21
social_groups,21111420_21111502,153105,27909,27912,116101,26959,26962,24.17,3.4,3.4,889,0.22,0.22
social_groups,21111408_21111414,270528,37323,37366,239929,35206,35220,11.31,5.67,5.74,2046,0.19,0.27
social_groups,21111420_21111423,99127,20676,20671,80971,19757,19762,18.32,4.44,4.4,850,0.33,0.29
social_groups,21111208_21111209,58679,9714,9695,50970,7535,7539,13.14,22.43,22.24,2134,0.46,0.23
social_groups,21111020_21111021,44150,12084,12094,36744,10736,10736,16.77,11.16,11.23,1340,0.07,0.15
social_groups,21111208_21111211,177692,27096,27078,158293,24174,24185,10.92,10.78,10.68,2789,0.49,0.38
social_groups,21111208_21111220,695457,119378,119359,639663,115541,115570,8.02,3.21,3.17,3299,0.45,0.41
social_groups,21111220_21111308,336482,99868,99848,257336,96539,96563,23.52,3.33,3.29,3045,0.28,0.24
social_groups,21100620_21100621,43397,12084,12094,36391,10634,10638,16.14,12.0,12.04,1432,0.15,0.2
social_groups,21100808_21100809,59302,9714,9695,51492,7438,7439,13.17,23.43,23.27,2231,0.46,0.26
social_groups,21100608_21100611,184694,25666,25701,166867,22689,22702,9.65,11.6,11.67,2906,0.28,0.36
social_groups,21111008_21111009,55863,9660,9662,48362,7431,7431,13.43,23.07,23.09,2210,0.2,0.22
social_groups,21100608_21100620,702003,109363,109427,657576,105917,105948,6.33,3.15,3.18,3012,0.4,0.43
social_groups,21111220_21111221,43426,15829,15835,35082,13441,13444,19.21,15.09,15.1,2356,0.2,0.22
social_groups,21111408_21111411,133151,14758,14786,115866,12655,12658,12.98,14.25,14.39,2089,0.09,0.26
social_groups,21111408_21111420,541054,90065,90123,485388,87756,87776,10.29,2.56,2.6,2121,0.21,0.25
social_groups,21111008_21111014,349296,45475,45522,317401,42736,42745,9.13,6.02,6.1,2627,0.25,0.33
social_groups,21100808_21100814,367510,48296,48277,330100,44952,44965,10.18,6.92,6.86,3102,0.5,0.43
social_groups,21111420_21111508,324878,41386,41344,258850,39846,39851,20.32,3.72,3.61,1409,0.32,0.2
social_groups,21111020_21111102,195592,49972,50046,158930,47988,47998,18.74,3.97,4.09,1944,0.08,0.21
social_groups,21111020_21111023,125541,33562,33594,107278,31797,31802,14.55,5.26,5.33,1709,0.17,0.25
social_groups,21111420_21111421,37208,7631,7624,30256,6901,6902,18.68,9.57,9.47,705,0.33,0.22
